customer_id,customer_name,city,state,email
1,RWMGF,Bangalore,KA,user1@mail.com
2,MJQWJ,Delhi,TS,user2@mail.com
3,YRKHB,Delhi,DL,user3@mail.com
4,NQAXG,Chennai,DL,user4@mail.com
5,RCQIN,Hyderabad,TN,user5@mail.com
6,AJDDV,Chennai,TS,user6@mail.com
7,WPPEQ,Delhi,MH,user7@mail.com
8,HFAYE,Bangalore,DL,user8@mail.com
9,HQMWP,Mumbai,MH,user9@mail.com
11,IJLLZ,Hyderabad,KA,user11@mail.com
12,WEYDK,Pune,KA,user12@mail.com
13,GOFEC,Hyderabad,TN,user13@mail.com
14,SPJCG,Delhi,TN,user14@mail.com
15,OCLUS,Mumbai,TN,user15@mail.com
16,QTEDX,Mumbai,KA,user16@mail.com
17,FQTWK,Bangalore,KA,user17@mail.com
18,CVSHW,Hyderabad,TN,user18@mail.com
19,BELDD,Bangalore,MH,user19@mail.com
20,WGJXM,Pune,TN,user20@mail.com
21,QIPBA,Hyderabad,MH,user21@mail.com
22,KWJME,Hyderabad,KA,user22@mail.com
23,HJZFI,Mumbai,TS,user23@mail.com
24,EZHPM,Bangalore,TS,user24@mail.com
25,FZNQA,Bangalore,DL,user25@mail.com
26,IEDBC,Delhi,TS,user26@mail.com
27,HMTES,Delhi,TN,user27@mail.com
28,DSRZB,Chennai,MH,user28@mail.com
29,IKQEQ,Delhi,TN,user29@mail.com
30,GWSLF,Bangalore,MH,user30@mail.com
32,AQKYV,Pune,TS,user32@mail.com
33,GZHCP,Delhi,TN,user33@mail.com
34,BGCAY,Delhi,TS,user34@mail.com
35,WUGBA,Mumbai,MH,user35@mail.com
36,LMKXG,Chennai,MH,user36@mail.com
37,XKIAL,Mumbai,KA,user37@mail.com
38,UVWGC,Mumbai,TS,user38@mail.com
39,BCFQR,Mumbai,MH,user39@mail.com
40,JUSCY,Pune,MH,user40@mail.com
41,FIVUS,Hyderabad,TN,user41@mail.com
42,QCKHI,Delhi,MH,user42@mail.com
43,FUWKA,Hyderabad,MH,user43@mail.com
44,FJGJI,Bangalore,TS,user44@mail.com
45,SGQOW,Bangalore,TN,user45@mail.com
46,HMRJN,Hyderabad,KA,user46@mail.com
47,VRMEM,Mumbai,TS,user47@mail.com
48,PMUPA,Chennai,MH,user48@mail.com
49,ODSRF,Delhi,KA,user49@mail.com
50,CXMOR,Hyderabad,MH,user50@mail.com
51,DRPHT,Chennai,TN,user51@mail.com
52,JIKXA,Mumbai,TN,user52@mail.com
53,IAHWE,Delhi,DL,user53@mail.com
54,DHBXZ,Chennai,KA,user54@mail.com
55,CVVQR,Mumbai,KA,user55@mail.com
56,JJLKP,Delhi,DL,user56@mail.com
57,GXXIG,Bangalore,TN,user57@mail.com
58,TTWJJ,Delhi,TN,user58@mail.com
59,WXQPH,Mumbai,TN,user59@mail.com
60,PTDNT,Bangalore,TS,user60@mail.com
61,NXIZS,Delhi,TS,user61@mail.com
62,BHLPJ,Mumbai,TS,user62@mail.com
63,GPDXW,Hyderabad,TS,user63@mail.com
64,DFKVL,Chennai,MH,user64@mail.com
65,NCWIZ,Bangalore,TN,user65@mail.com
66,WBSVY,Chennai,KA,user66@mail.com
67,HJDYF,Delhi,MH,user67@mail.com
68,GIGJT,Chennai,TS,user68@mail.com
69,YJSUY,Pune,TN,user69@mail.com
70,OQJEE,Bangalore,TS,user70@mail.com
71,YPNIJ,Bangalore,MH,user71@mail.com
72,KDPPH,Mumbai,MH,user72@mail.com
73,EAWOJ,Delhi,TN,user73@mail.com
74,JKYQP,Bangalore,TS,user74@mail.com
75,WBNEC,Pune,TS,user75@mail.com
76,WGQPD,Chennai,MH,user76@mail.com
77,HXOWO,Hyderabad,DL,user77@mail.com
78,SHWTL,Chennai,KA,user78@mail.com
80,SVUAE,Delhi,DL,user80@mail.com
81,MLUHL,Mumbai,TS,user81@mail.com
82,SYOLA,Pune,MH,user82@mail.com
83,KYSBZ,Delhi,MH,user83@mail.com
84,VXVHJ,Chennai,TN,user84@mail.com
85,YANNC,Bangalore,TS,user85@mail.com
87,ONUFY,Bangalore,MH,user87@mail.com
